subset,parameter,volume_method,linear_a,linear_r2,linear_rmse,linear_rrmse,exponential_a,exponential_b,exponential_r2,exponential_rmse,exponential_rrmse,power_a,power_b,power_r2,power_rmse,power_rrmse,log_a,log_b,log_r2,log_rmse,log_rrmse,poly2deg_a,poly2deg_b,poly2deg_r2,poly2deg_rmse,poly2deg_rrmse,best_r2,best_rmse,best_rrmse,best_equation
watermelon,leaf_no,voxel_vol_01,8499.230526032217,0.9128728893196377,129.97532528681324,0.34249097572282805,132.8970962075735,-16.94626673291419,0.7727876302471548,209.8941055955174,0.5530806471555135,5309.972032567331,0.785253001886254,0.91544340299127,128.04363806966415,0.33740089082915453,883.5206144047557,20.26667897838917,0.9176223759636376,126.38306624509045,0.33302520749694453,-41821.611056683214,13084.176365525287,0.8375892995620626,177.4563631164271,0.46760569991153383,0.9176223759636376,126.38306624509045,0.33302520749694453,log
watermelon,leaf_no,voxel_vol_002,256186.7615199377,-0.5786507228450024,553.2574660672426,1.4578589356185576,254.30613721019367,-301.81371728737935,-11.626114584344052,1564.6569015374541,4.122943087055215,57298.7066195411,0.6185581624598206,-0.45823780934080216,531.73890166535,1.4011565261274044,643.1124424258776,1508.6585285692083,0.06025786016607726,426.86309395861025,1.1248039366498295,-93496487.21988492,626380.5888789999,0.641986836043712,263.4715672259415,0.6942597291856166,0.641986836043712,263.4715672259415,0.6942597291856166,poly2deg
watermelon,leaf_no,voxel_vol_001,1817021.748335986,-0.3377233482979869,509.2926522963827,1.342009623969388,242.06075375792634,-2325.8744275331546,-17.082976238509165,1872.488731153151,4.934094153236234,1839059.7945880084,0.7077124359727527,-1.0855059618320801,635.9016835561129,1.6756302596999022,181371.61124990793,6317.289568958271,-0.3329572291858338,508.38457388735947,1.3396167954871132,-3199439436.9492717,3568479.481762116,-0.8805192347291066,603.8417635930374,1.591150892208267,-0.3329572291858338,508.38457388735947,1.3396167954871132,log
watermelon,shoot_biomass,voxel_vol_02,921.1856043096022,0.9597151021415761,25.91824658065863,0.25669763272183893,35.153277390089954,-6.664289616315372,-0.5063445655534626,158.48809540759353,1.5696863898224542,1105.4283229887242,1.1467048267499202,0.9420670484797193,31.081166617794956,0.3078318538328476,741905.5618850758,0.5115860095244842,0.9214132689567938,36.20004378780282,0.35852986874854237,151.05438181603762,850.0097186040277,0.653824885078835,75.97704640836939,0.7524863957726151,0.9597151021415761,25.91824658065863,0.25669763272183893,linear
watermelon,shoot_biomass,convh_vol,133.68028412150164,0.9423486355740771,31.005538533226453,0.3070828235998183,40.34337253282012,-0.8503351051201615,0.7740415683863464,61.38309181904765,0.6079460009017477,153.71853726353953,0.8055304686032173,0.919525600218375,36.632229975319184,0.36281029608706905,756.8556629054659,0.6224374577239266,0.8835912676644222,44.05825212463614,0.43635857028599306,-15.598792744371826,165.9136819742004,0.7863552694364141,59.68711350585555,0.5911488145338677,0.9423486355740771,31.005538533226453,0.3070828235998183,linear
watermelon,shoot_biomass,voxel_vol_01,2360.2695931930434,0.8155019694404086,55.46644750303431,0.5493467980254567,28.086943835183387,-19.464267257741717,0.737034932763982,66.21913659144771,0.655842807537514,2954.4493344730886,1.0717058283114094,0.7683454551847695,62.15196965835217,0.6155610654697744,328745.3594339374,3.4762414865908147,0.7704214588773903,61.872851249365716,0.6127966410086931,-256.61568738704443,2353.4945828668488,0.5916902523406882,82.51432625765968,0.8172324524370066,0.8155019694404086,55.46644750303431,0.5493467980254567,linear
watermelon,shoot_biomass,voxel_vol_005,7881.431771656874,-0.051314175390452244,132.40388977719493,1.3113450774224997,63.13992554296988,-37.73915917634435,-5.860116411800054,338.2207331807068,3.3497814473962726,2393.737199520313,0.5955236088593464,0.08899593213928869,123.2521892236462,1.2207054633512222,140.02720827988873,249.22910210629547,0.37569318211437897,102.03132412432787,1.0105312982759673,-386992.720403445,20882.581635866947,0.7894187138141151,59.257642680599844,0.586895280490847,0.7894187138141151,59.257642680599844,0.586895280490847,poly2deg
watermelon,shoot_biomass,voxel_vol_002,67389.10614978841,-0.743774132546726,170.52167869845013,1.6888685395219292,70.04392882848083,-285.21059337335043,-9.934708422913666,427.010040951448,4.229162120191031,14760.20908832686,0.5978248279840838,-0.6338645554720921,165.06025420951082,1.6347778920995844,161.50568849403814,1726.7643446711384,-0.1092985441737695,136.00619962150884,1.3470228153623807,-28515931.118246187,179841.0874672702,0.5156451836818325,89.8703214790399,0.8900871709753576,0.5156451836818325,89.8703214790399,0.8900871709753576,poly2deg
watermelon,shoot_biomass,voxel_vol_001,475260.23899085866,-0.48927708735984066,157.58767127862103,1.560768473958294,67.07952368392108,-2179.8826178902355,-13.827164960206018,497.23712141384004,4.924700117005785,439768.30696821556,0.6755327862152585,-1.15176816191796,189.42278718135879,1.8760675380453096,31865.64321589088,7724.454023430486,-0.49447001019418213,157.8621764401192,1.5634872082255689,-998670749.2173172,1016142.9001116508,-0.7964098056548361,173.07613663149937,1.7141682179650917,-0.48927708735984066,157.58767127862103,1.560768473958294,linear
watermelon,shoot_no,voxel_vol_01,443.7378238763915,0.9385274662472438,5.569529177316366,0.274361043217555,6.238390766704205,-18.128734394276286,0.7355623778669815,11.551531002622227,0.5690409360897648,864.3572429118179,1.1829917501565297,0.8467746694581066,8.793124248226272,0.4331588299618853,111642.43133651558,0.8068311981696816,0.9237976482720353,6.201005459233872,0.3054682492233434,884.428219527126,348.6896131217806,0.8601157284010751,8.401607125516732,0.4138722721929424,0.9385274662472438,5.569529177316366,0.274361043217555,linear
watermelon,shoot_no,voxel_vol_005,1625.638227314398,0.8373969885936551,9.058206532518218,0.4462170705673999,10.123995785553742,-47.12858506580679,-2.240735257307426,40.43893443440245,1.9920657356848497,709.1822968958156,0.7542977598279527,0.8789817664154194,7.814538428411191,0.384952631941438,56.601874842439216,56.883238922706006,0.8958486663522743,7.249538224740858,0.3571201095931457,-23498.911716481853,2402.8777255151417,0.8753467963052775,7.931031024803391,0.39069118348785176,0.8958486663522743,7.249538224740858,0.3571201095931457,log
