subset,parameter,volume_method,linear_a,linear_b,linear_r2,linear_rmse,linear_rrmse,exponential_a,exponential_b,exponential_c,exponential_r2,exponential_rmse,exponential_rrmse,power_a,power_b,power_c,power_r2,power_rmse,power_rrmse,log_a,log_b,log_c,log_r2,log_rmse,log_rrmse,poly2deg_a,poly2deg_b,poly2deg_c,poly2deg_r2,poly2deg_rmse,poly2deg_rrmse,best_r2,best_rmse,best_rrmse,best_equation
tomato,leaf_biomass,convh_vol,170.51700777257378,-3.693079540949694,0.9572936837029886,18.35734359552723,0.26743546794179046,33599.7377229146,-0.12153262237585553,-33600.837503107105,0.9464008516979536,20.565663473868337,0.2996069559872181,165.25991649982623,1.0534426236636991,-0.8626997182095112,0.9424526575449772,21.309654916009286,0.3104456537780102,546794.4357208217,0.022074838194386413,-3.9355921576804667,0.9408103174926762,21.61159328322254,0.3148443854411758,8.019130900830374,156.36872385408537,-1.4487809079324339,0.9230504389956644,24.641483703085097,0.3589847676283742,0.9572936837029886,18.35734359552723,0.26743546794179046,linear
tomato,leaf_biomass,voxel_vol_002,140066.34421026162,-47.11734874852537,0.7576313112584385,43.73227165697496,0.6371052801773686,33.33478496032525,-1126.1345369804724,-38.715514289100064,0.9531993828233367,19.2171761371035,0.2799617747525458,307528186.3598666,2.228174609657215,3.913923094297535,0.95190103928394,19.481914223616332,0.28381856120316407,1273762.1397065707,0.1116431509112031,-47.120123913880256,0.7575879185011312,43.73618631057637,0.6371623100636523,77418688.18285762,-19642.152849029106,5.622135062347723,0.9495008645043422,19.962078186681403,0.2908137385545527,0.9531993828233367,19.2171761371035,0.2799617747525458,exponential
tomato,leaf_biomass,voxel_vol_005,10896.53017218786,-15.893891552630068,0.8309139905375996,36.52730390066353,0.5321410780645891,65.64088449814939,-69.3900955789685,-61.11755591401964,0.9081186651656783,26.92634639778662,0.3922713551327409,252524.7131987785,1.7880853821844525,10.310202521094968,0.8857588948929971,30.02444431740225,0.43740540530456246,1112140.1769992255,0.010290579724837176,-15.896374342113939,0.8308748670845277,36.5315295359145,0.5322026384278744,353547.02884227486,2520.9685938144744,6.662250772689439,0.9027954017733898,27.695370880960322,0.4034747420196303,0.9081186651656783,26.92634639778662,0.3922713551327409,exponential
tomato,leaf_biomass,voxel_vol_02,792.7384337901291,-6.111490573369606,0.8736517269267154,31.575369086983777,0.4599997577683148,18005.607865154623,-2.2729950880291967,-18002.398496230868,0.8513014635903675,34.25446015855577,0.49902958638464584,1024.0719434599816,1.2346295011163602,4.257294652622281,0.8420459762906427,35.304423763410924,0.5143257814209856,734191.7339102125,0.06328657491838303,-6.275503153676285,0.860874680785323,33.13346591460708,0.48269859499526435,752.4515786430559,536.5070001510793,2.4162338746317187,0.8429750936657875,35.2004367547738,0.5128108664677397,0.8736517269267154,31.575369086983777,0.4599997577683148,linear
tomato,leaf_biomass,voxel_vol_01,2391.6753595398072,-6.973866689939023,0.8613191805127641,33.0804935326755,0.48192687692635405,634.2608234845793,-8.87430521230981,-629.584295719859,0.8454071696696638,34.92677245393935,0.5088240401618652,5555.16384135445,1.3526865350601582,7.0797289743331815,0.8369669388413519,35.86754254392798,0.5225294702494216,833782.4244174404,0.004283817293487815,-6.978209153166001,0.861173721346836,33.09783767555647,0.4821795517724332,9290.273518599151,1364.058656002024,4.315516376961765,0.8502024731377393,34.380809835046854,0.5008702876103351,0.8613191805127641,33.0804935326755,0.48192687692635405,linear
tomato,leaf_biomass,voxel_vol_001,959310.5783767273,-65.49432022864991,0.42440977891495624,67.39388368641677,0.9818149737352467,5.470321618434513,-15045.002762719305,0.6244756900779558,0.4601474257291315,65.26815990827774,0.9508467712628522,1.0541734170323717e+22,4.016630807379017,15.728111595743117,0.4925401452018394,63.27973124568691,0.9218787265628329,1057001.6733738563,0.9471335671226359,-65.49732161604126,0.4243597551541374,67.39681217803216,0.9818576369082408,5416448253.61558,-652642.9702798955,24.200834201029345,0.6860280525160812,49.7747633608045,0.7251341710644887,0.6860280525160812,49.7747633608045,0.7251341710644887,poly2deg
tomato,leaf_no,convh_vol,1002.741851147686,-43.97873377330453,0.9581264649445524,106.68350172315591,0.2801142205784289,1610308.0428743388,-0.032889298021443907,-1610349.0512444742,0.924431252415667,143.31728138661856,0.3763019391246549,990.6630888195753,1.0298010710017897,-35.930109997409446,0.9310528195522697,136.89440685777032,0.35943767742100236,669163.4921857632,0.056403848178407524,-50.853303515708134,0.9505018368365855,115.99038514306885,0.30455089872523705,-12.662889025015378,1029.616449336493,-48.67440019451692,0.9177511639286647,149.51760418643232,0.39258185645349825,0.9581264649445524,106.68350172315591,0.2801142205784289,linear
tomato,leaf_no,voxel_vol_02,4656.086770259997,-58.07640008121983,0.9167899169030308,150.3887767730848,0.3948692563434335,1743.5998701037254,-2.19952162982542,-1749.6899967489142,0.9136499007269215,153.20003680697673,0.4022506592831347,6312.421583944727,1.2845669865885547,13.460051300111962,0.9149376276834571,152.05342055372827,0.3992400389632776,4477715.839496986,0.0010778027775858138,-58.100039881076135,0.9167654858859688,150.41085271019205,0.3949272201692965,5037.13177285803,2973.7789496679293,-2.4936986104051857,0.9149736225214034,152.02124582590048,0.3991555591827845,0.9167899169030308,150.3887767730848,0.3948692563434335,linear
tomato,leaf_no,voxel_vol_005,63469.74330271186,-111.47298257820823,0.8472640617424757,203.75021120825656,0.534978048933907,415.3847325297055,-66.73037608394888,-414.4206093775463,0.8695971129566625,188.26563449739953,0.49432087077336717,1408112.0110430703,1.8044910225405755,41.64119907945259,0.9003083679539429,164.61022251208007,0.4322098865658517,6185472.732189798,0.010368421405663578,-111.48652183685729,0.8472395359962991,203.76656926200556,0.5350209995626553,2184976.43642267,12136.30538126674,26.100209552996866,0.9086895043194492,157.538896552727,0.41364301420445954,0.9086895043194492,157.538896552727,0.41364301420445954,poly2deg
tomato,leaf_no,voxel_vol_01,14013.599105535335,-62.08690478450371,0.8969374983242806,167.37006664661624,0.4394562890196226,1084.923680520603,-8.662684349204289,-1081.9021093978456,0.9004478778291718,164.49500325516536,0.4319073603849053,34287.87202345502,1.398145300107696,28.3471244232934,0.9033636842633268,162.0681337264336,0.42553523484059835,4794321.3460350605,0.00295177628200879,-62.10718868355592,0.8969108759497598,167.39168217513352,0.4395130439707182,60410.17808550701,7432.552792077596,9.744988550022226,0.9047240197751515,160.9233859363197,0.422529520462955,0.9047240197751515,160.9233859363197,0.422529520462955,poly2deg
