sample_id,plot_id,trial_dir,date_dir,species,width,depth,height,voxel_vol_02,voxel_vol_01,voxel_vol_005,voxel_vol_002,voxel_vol_001,convh_vol,ground_area
gp_10_06_24_2023,10,Garden_Plots,Sampling_06_24_2023,watermelon,0.0462,0.111400001,0.108100001,0.000448,0.000143,6.26E-05,1.94E-05,5.70E-06,0.000229092,0.003594845
gp_10_08_02_2023,10,Garden_Plots,Sampling_08_02_2023,watermelon,1.948099971,1.823000014,0.379399988,0.143864,0.058978,0.020405375,0.002421584,0.000324951,1.025037492,3.47297012
gp_10_08_12_2023,10,Garden_Plots,Sampling_08_12_2023,watermelon,1.628300011,1.999899983,0.415599995,0.135336,0.051589,0.01746175,0.002346024,0.00033289,0.867736335,3.09322565
gp_10_08_25_2023,10,Garden_Plots,Sampling_08_25_2023,watermelon,2.715699911,1.675899982,0.396799998,0.236384,0.095668,0.02347625,0.001840176,0.000243562,1.295865571,4.164499563
gp_10_09_07_2023,10,Garden_Plots,Sampling_09_07_2023,watermelon,2.862900019,1.819899976,0.379999995,0.230736,0.091893,0.01951125,0.001503064,0.000195538,1.23634142,4.721719787
gp_10_09_14_2023,10,Garden_Plots,Sampling_09_14_2023,watermelon,2.683099985,2.044400036,0.368000004,0.209352,0.081154,0.016929,0.001277632,0.000168238,1.310880799,5.031529655
gp_11_06_24_2023,11,Garden_Plots,Sampling_06_24_2023,watermelon,0.379199997,0.905200005,0.262499994,0.009896,0.004155,0.001755125,0.000491848,0.000117998,0.043363032,0.290083239
gp_11_08_02_2023,11,Garden_Plots,Sampling_08_02_2023,watermelon,1.890100002,1.327799976,0.516300013,0.139544,0.059848,0.02231325,0.003215088,0.000452278,0.882241296,2.424167598
gp_11_08_12_2023,11,Garden_Plots,Sampling_08_12_2023,watermelon,2.66230011,3.582899928,0.509899974,0.402696,0.141604,0.023277125,0.001692488,0.000220894,3.396123056,9.303082731
gp_11_08_25_2023,11,Garden_Plots,Sampling_08_25_2023,watermelon,2.457299948,3.977400064,0.481099993,0.390072,0.143962,0.02216675,0.001649208,0.000212348,3.439402074,9.695321376
gp_11_09_07_2023,11,Garden_Plots,Sampling_09_07_2023,watermelon,2.715300083,3.9993999,0.43690001,0.443936,0.167889,0.026692875,0.001962848,0.000255179,2.821340864,9.613515006
gp_11_09_14_2023,11,Garden_Plots,Sampling_09_14_2023,watermelon,2.993699908,3.561100006,0.451299995,0.379336,0.129834,0.022094375,0.00159784,0.000208477,2.683866214,9.11287052
gp_12_06_24_2023,12,Garden_Plots,Sampling_06_24_2023,watermelon,0.152099997,0.225199997,0.1425,0.00156,0.00068,0.00028475,8.21E-05,1.95E-05,0.001725343,0.020501959
gp_13_06_24_2023,13,Garden_Plots,Sampling_06_24_2023,watermelon,0.7412,0.693500012,0.271800005,0.008368,0.003446,0.001415375,0.000332992,6.86E-05,0.04296149,0.359426054
gp_13_08_02_2023,13,Garden_Plots,Sampling_08_02_2023,watermelon,1.999899924,1.253600001,0.586099982,0.25244,0.117191,0.042914125,0.005014024,0.000670452,1.125436254,2.506230255
