plot_id,date_dir,trial_dir,date,sample_id,species,scan_level,plants_per_group,group_proportion,s_priority,trial,npts,nnd,ch_vol,npts_vol
21,Sampling_07_07_2023,Garden_Plots,07_07_2023,gp_21_07_07_2023,tomato,plant,1,1.0,4,Garden_Plots,272931,0.00027377526408151634,0.06717238366920704,4063142.992573542
22,Sampling_06_24_2023,Garden_Plots,06_24_2023,gp_22_06_24_2023,watermelon,plant,1,1.0,4,Garden_Plots,28386,0.0003035028193142723,0.0015907854658182277,17844015.179884445
22,Sampling_07_07_2023,Garden_Plots,07_07_2023,gp_22_07_07_2023,watermelon,plant,1,1.0,4,Garden_Plots,165144,0.00036686917367832994,0.03919970985342267,4212888.325385925
24,Sampling_06_24_2023,Garden_Plots,06_24_2023,gp_24_06_24_2023,watermelon,plant,1,1.0,4,Garden_Plots,40641,0.0003073232878629149,0.003647309772245082,11142733.285027131
24,Sampling_07_07_2023,Garden_Plots,07_07_2023,gp_24_07_07_2023,watermelon,plant,1,1.0,1,Garden_Plots,165144,0.00036686917367832994,0.03919970985342267,4212888.325385925
1017,Sampling_07_07_2023,Tomato_Fertilizer_Trial,07_07_2023,tf_1017_07_07_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,387331,0.0010046327238592378,0.40817263226552186,948939.1727469761
1017,Sampling_07_23_2023,Tomato_Fertilizer_Trial,07_23_2023,tf_1017_07_23_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,516855,0.001042919236241191,0.5582028981366551,925926.7583979246
1017,Sampling_08_10_2023,Tomato_Fertilizer_Trial,08_10_2023,tf_1017_08_10_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,287792,0.0012617696083070612,0.3624761206572394,793961.2669606411
1017,Sampling_08_24_2023,Tomato_Fertilizer_Trial,08_24_2023,tf_1017_08_24_2023,tomato,plot,3,1.0,3,Tomato_Fertilizer_Trial,315314,0.001293858394809571,0.5674669074737745,555651.7848832837
1026,Sampling_06_25_2023,Tomato_Fertilizer_Trial,06_25_2023,tf_1026_06_25_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,263192,0.0010581610958161954,0.6642783677118879,396207.3925522623
1026,Sampling_07_07_2023,Tomato_Fertilizer_Trial,07_07_2023,tf_1026_07_07_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,242895,0.0020390060615075663,0.6708624956619257,362063.76354418305
1026,Sampling_07_23_2023,Tomato_Fertilizer_Trial,07_23_2023,tf_1026_07_23_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,543003,0.0010185595937895475,0.6432247584826022,844188.5870204528
1026,Sampling_08_10_2023,Tomato_Fertilizer_Trial,08_10_2023,tf_1026_08_10_2023,tomato,plot,3,1.0,2,Tomato_Fertilizer_Trial,252686,0.0017424371085688322,0.5569054229512069,453732.3387173032
1026,Sampling_08_24_2023,Tomato_Fertilizer_Trial,08_24_2023,tf_1026_08_24_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,278034,0.0017444219891855784,0.7050393626379549,394352.44999614777
1033,Sampling_06_25_2023,Tomato_Fertilizer_Trial,06_25_2023,tf_1033_06_25_2023,tomato,plot,3,1.0,4,Tomato_Fertilizer_Trial,146491,0.001789292560348043,0.45048358590658927,325186.09907881496
1033,Sampling_07_07_2023,Tomato_Fertilizer_Trial,07_07_2023,tf_1033_07_07_2023,tomato,plot,3,1.0,2,Tomato_Fertilizer_Trial,314931,0.0013369535169345328,0.4286591870884513,734688.5579172617
