plot_id,date_dir,trial_dir,file_path,date,sample_id
1,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\01\01.las,06_24_2023,gp_01_06_24_2023
2,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\02\02.las,06_24_2023,gp_02_06_24_2023
3,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\03\03.las,06_24_2023,gp_03_06_24_2023
4,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\04\04.las,06_24_2023,gp_04_06_24_2023
5,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\05\05.las,06_24_2023,gp_05_06_24_2023
6,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\06\06.las,06_24_2023,gp_06_06_24_2023
7,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\07\07.las,06_24_2023,gp_07_06_24_2023
8,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\08\08.las,06_24_2023,gp_08_06_24_2023
9,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\09\09.las,06_24_2023,gp_09_06_24_2023
10,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\10\10.las,06_24_2023,gp_10_06_24_2023
11,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\11\11.las,06_24_2023,gp_11_06_24_2023
12,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\12\12.las,06_24_2023,gp_12_06_24_2023
13,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\13\13.las,06_24_2023,gp_13_06_24_2023
14,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\14\14.las,06_24_2023,gp_14_06_24_2023
15,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\15\15.las,06_24_2023,gp_15_06_24_2023
16,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\16\16.las,06_24_2023,gp_16_06_24_2023
17,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\17\17.las,06_24_2023,gp_17_06_24_2023
18,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\18\18.las,06_24_2023,gp_18_06_24_2023
19,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\19\19.las,06_24_2023,gp_19_06_24_2023
20,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\20\20.las,06_24_2023,gp_20_06_24_2023
21,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\21\21.las,06_24_2023,gp_21_06_24_2023
22,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\22\22.las,06_24_2023,gp_22_06_24_2023
23,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\23\23.las,06_24_2023,gp_23_06_24_2023
24,Sampling_06_24_2023,Garden_Plots,Garden_Plots\Sampling_06_24_2023\24\24.las,06_24_2023,gp_24_06_24_2023
18,Sampling_07_07_2023,Garden_Plots,Garden_Plots\Sampling_07_07_2023\18\18.las,07_07_2023,gp_18_07_07_2023
21,Sampling_07_07_2023,Garden_Plots,Garden_Plots\Sampling_07_07_2023\21\21.las,07_07_2023,gp_21_07_07_2023
22,Sampling_07_07_2023,Garden_Plots,Garden_Plots\Sampling_07_07_2023\22\22.las,07_07_2023,gp_22_07_07_2023
24,Sampling_07_07_2023,Garden_Plots,Garden_Plots\Sampling_07_07_2023\24\24.las,07_07_2023,gp_24_07_07_2023
1,Sampling_08_02_2023,Garden_Plots,Garden_Plots\Sampling_08_02_2023\01\01.las,08_02_2023,gp_01_08_02_2023
3,Sampling_08_02_2023,Garden_Plots,Garden_Plots\Sampling_08_02_2023\03\03.las,08_02_2023,gp_03_08_02_2023
4,Sampling_08_02_2023,Garden_Plots,Garden_Plots\Sampling_08_02_2023\04\04.las,08_02_2023,gp_04_08_02_2023
5,Sampling_08_02_2023,Garden_Plots,Garden_Plots\Sampling_08_02_2023\05\05.las,08_02_2023,gp_05_08_02_2023
6,Sampling_08_02_2023,Garden_Plots,Garden_Plots\Sampling_08_02_2023\06\06.las,08_02_2023,gp_06_08_02_2023
7,Sampling_08_02_2023,Garden_Plots,Garden_Plots\Sampling_08_02_2023\07\07.las,08_02_2023,gp_07_08_02_2023
8,Sampling_08_02_2023,Garden_Plots,Garden_Plots\Sampling_08_02_2023\08\08.las,08_02_2023,gp_08_08_02_2023
10,Sampling_08_02_2023,Garden_Plots,Garden_Plots\Sampling_08_02_2023\10\10.las,08_02_2023,gp_10_08_02_2023
11,Sampling_08_02_2023,Garden_Plots,Garden_Plots\Sampling_08_02_2023\11\11.las,08_02_2023,gp_11_08_02_2023
13,Sampling_08_02_2023,Garden_Plots,Garden_Plots\Sampling_08_02_2023\13\13.las,08_02_2023,gp_13_08_02_2023
14,Sampling_08_02_2023,Garden_Plots,Garden_Plots\Sampling_08_02_2023\14\14.las,08_02_2023,gp_14_08_02_2023
16,Sampling_08_02_2023,Garden_Plots,Garden_Plots\Sampling_08_02_2023\16\16.las,08_02_2023,gp_16_08_02_2023
17,Sampling_08_02_2023,Garden_Plots,Garden_Plots\Sampling_08_02_2023\17\17.las,08_02_2023,gp_17_08_02_2023
19,Sampling_08_02_2023,Garden_Plots,Garden_Plots\Sampling_08_02_2023\19\19.las,08_02_2023,gp_19_08_02_2023
20,Sampling_08_02_2023,Garden_Plots,Garden_Plots\Sampling_08_02_2023\20\20.las,08_02_2023,gp_20_08_02_2023
