sample_id,sampling_age,aboveground_veg_biomass,voxel_vol_02,voxel_vol_01,voxel_vol_005,voxel_vol_002,voxel_vol_001,convh_vol,predicted_aboveground_veg_biomass,error_aboveground_veg_biomass,abs_error_aboveground_veg_biomass,perc_error_aboveground_veg_biomass,relative_residuals_aboveground_veg_biomass,parameter,species,leaf_biomass,predicted_leaf_biomass,error_leaf_biomass,abs_error_leaf_biomass,perc_error_leaf_biomass,relative_residuals_leaf_biomass,leaf_no,predicted_leaf_no,error_leaf_no,abs_error_leaf_no,perc_error_leaf_no,relative_residuals_leaf_no,shoot_biomass,predicted_shoot_biomass,error_shoot_biomass,abs_error_shoot_biomass,perc_error_shoot_biomass,relative_residuals_shoot_biomass,shoot_no,predicted_shoot_no,error_shoot_no,abs_error_shoot_no,perc_error_shoot_no,relative_residuals_shoot_no
gp_02_06_24_2023,5,,0.034624,0.014652,0.0060865,0.00136908,0.000241837,0.1801642664344003,,,,,,shoot_no,tomato,,,,,,,,,,,,,,,,,,,11.0,8.978245707470863,2.0217542925291365,2.0217542925291365,18.379584477537605,18.379584477537605
gp_08_08_02_2023,10,,0.080904,0.035897,0.010725375,0.000891576,0.00011944,0.239007681956809,,,,,,shoot_no,tomato,,,,,,,,,,,,,,,,,,,15.0,11.910628767012549,3.0893712329874514,3.0893712329874514,20.595808219916343,20.595808219916343
gp_06_09_01_2023,15,,0.15532,0.06691,0.016718375,0.001310328,0.000175346,0.6252446914343908,,,,,,shoot_no,tomato,,,,,,,,,,,,,,,,,,,23.0,31.158234527232032,-8.158234527232032,8.158234527232032,35.47058490100884,-35.470584901008834
gp_24_07_07_2023,2,12.54,0.01352,0.005616,0.002297,0.000602688,0.000131728,0.0390881281425677,27.48305482104,-14.94305482104,14.94305482104,119.16311659521533,-119.16311659521531,aboveground_veg_biomass,watermelon,,,,,,,,,,,,,,,,,,,,,,,,
gp_15_06_24_2023,4,5.91,0.006944,0.0028,0.00123975,0.000346176,8.254e-05,0.0228593315602132,14.115557150688,-8.205557150688,8.205557150688,138.84191456324874,-138.8419145632487,aboveground_veg_biomass,watermelon,,,,,,,,,,,,,,,,,,,,,,,,
gp_13_08_02_2023,9,433.62,0.25244,0.117191,0.042914125,0.005014024,0.000670452,1.1254362542637792,513.15254134788,-79.53254134787994,79.53254134787994,18.34152976059221,-18.34152976059221,aboveground_veg_biomass,watermelon,,,,,,,,,,,,,,,,,,,,,,,,
gp_11_09_14_2023,15,774.76,0.379336,0.129834,0.022094375,0.00159784,0.000208477,2.683866213860796,771.102964762872,3.657035237127957,3.657035237127957,0.47202168892662977,0.47202168892662977,aboveground_veg_biomass,watermelon,,,,,,,,,,,,,,,,,,,,,,,,
ta_Sugar_Baby_Day_Zero,0,2.46,0.003008,0.001381,0.0006145,0.000191568,4.6637e-05,0.0066688144484401,6.114573143615999,-3.654573143615999,3.654573143615999,148.55988388682923,-148.55988388682923,aboveground_veg_biomass,watermelon,,,,,,,,,,,,,,,,,,,,,,,,
gp_22_07_07_2023,2,16.27,0.01352,0.005616,0.002297,0.000602688,0.000131728,0.0390881281425677,27.48305482104,-11.21305482104,11.21305482104,68.91859140159804,-68.91859140159804,aboveground_veg_biomass,watermelon,,,,,,,,,,,,,,,,,,,,,,,,
gp_14_08_02_2023,9,525.05,0.243432,0.091349,0.026932,0.002689344,0.000352561,2.1348638390091224,494.841346242264,30.20865375773593,30.20865375773593,5.753481336584312,5.753481336584312,aboveground_veg_biomass,watermelon,,,,,,,,,,,,,,,,,,,,,,,,
gp_10_09_14_2023,15,458.63,0.209352,0.081154,0.016929,0.001277632,0.000168238,1.310880798715461,425.564533498104,33.06546650189597,33.06546650189597,7.209617011947751,7.209617011947751,aboveground_veg_biomass,watermelon,,,,,,,,,,,,,,,,,,,,,,,,
gp_24_07_07_2023,2,,0.01352,0.005616,0.002297,0.000602688,0.000131728,0.0390881281425677,,,,,,leaf_biomass,watermelon,8.99,14.933751586,-5.943751585999999,5.943751585999999,66.11514556173526,-66.11514556173526,,,,,,,,,,,,,,,,,,
