Record,Trial,Collection Date,Collection Level,plot_id,date_dir,trial_dir,sensor_height,error,physical_height,percent_error
20431,Tomato Fertilizer Trial,8/10/2023,Plant,2043,Sampling_08_10_2023,Tomato_Fertilizer_Trial,0.7783000205090502,-0.021699979490949817,0.8,-2.712497436368727
20432,Tomato Fertilizer Trial,8/10/2023,Plant,2043,Sampling_08_10_2023,Tomato_Fertilizer_Trial,0.8132999871304492,0.03329998713044913,0.78,4.269229119288349
20433,Tomato Fertilizer Trial,8/10/2023,Plant,2043,Sampling_08_10_2023,Tomato_Fertilizer_Trial,0.8093999729026109,0.03939997290261088,0.77,5.116879597741673
20511,Tomato Fertilizer Trial,8/10/2023,Plant,2051,Sampling_08_10_2023,Tomato_Fertilizer_Trial,0.7267999821342528,-0.04320001786574723,0.77,-5.610391930616523
20512,Tomato Fertilizer Trial,8/10/2023,Plant,2051,Sampling_08_10_2023,Tomato_Fertilizer_Trial,0.7163000106811523,-0.0036999893188476296,0.72,-0.5138874053955041
20513,Tomato Fertilizer Trial,8/10/2023,Plant,2051,Sampling_08_10_2023,Tomato_Fertilizer_Trial,0.7042999863624573,0.024299986362457227,0.68,3.5735274062437092
20621,Tomato Fertilizer Trial,8/10/2023,Plant,2062,Sampling_08_10_2023,Tomato_Fertilizer_Trial,0.746399998664856,-0.03360000133514407,0.78,-4.307692478864624
20622,Tomato Fertilizer Trial,8/10/2023,Plant,2062,Sampling_08_10_2023,Tomato_Fertilizer_Trial,0.7244999710237607,0.014499971023760772,0.71,2.042249439966306
20623,Tomato Fertilizer Trial,8/10/2023,Plant,2062,Sampling_08_10_2023,Tomato_Fertilizer_Trial,0.6776999831199646,-0.042300016880035374,0.72,-5.875002344449358
20741,Tomato Fertilizer Trial,8/10/2023,Plant,2074,Sampling_08_10_2023,Tomato_Fertilizer_Trial,0.7583000229860772,-0.02169997701392279,0.78,-2.782048335118306
20742,Tomato Fertilizer Trial,8/10/2023,Plant,2074,Sampling_08_10_2023,Tomato_Fertilizer_Trial,0.7298000024820794,0.009800002482079462,0.72,1.3611114558443698
20743,Tomato Fertilizer Trial,8/10/2023,Plant,2074,Sampling_08_10_2023,Tomato_Fertilizer_Trial,0.632999986759387,0.0029999867593869523,0.63,0.47618837450586543
03,Garden Plots,8/12/2023,Plant,03,Sampling_08_12_2023,Garden_Plots,0.8631000254681567,0.2831000254681567,0.58,48.810349218647715
04,Garden Plots,8/12/2023,Plant,04,Sampling_08_12_2023,Garden_Plots,0.9162999894469976,0.2262999894469977,0.69,32.79709991985474
05,Garden Plots,8/12/2023,Plant,05,Sampling_08_12_2023,Garden_Plots,1.0968999937176704,-0.003100006282329648,1.1,-0.2818187529390589
06,Garden Plots,8/12/2023,Plant,06,Sampling_08_12_2023,Garden_Plots,1.3249999601393938,-0.12500003986060615,1.45,-8.620692404179735
01,Garden Plots,8/12/2023,Plant,01,Sampling_08_12_2023,Garden_Plots,1.0487000048160553,-0.18129999518394468,1.23,-14.739837006824771
16,Garden Plots,8/12/2023,Plant,16,Sampling_08_12_2023,Garden_Plots,1.113000039709732,-0.05699996029026799,1.17,-4.8717914778006834
19,Garden Plots,8/12/2023,Plant,19,Sampling_08_12_2023,Garden_Plots,1.0935000347162713,-0.11649996528372863,1.21,-9.628096304440383
20,Garden Plots,8/12/2023,Plant,20,Sampling_08_12_2023,Garden_Plots,1.243099944498681,-0.01690005550131901,1.26,-1.3412742461364293
